epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
50,851.799,2.23712,6.13216,1.78872,0,0,0,0,2.56608,5.19634,2.44941,0.000858338,0.000858338,0.000858338
51,869.142,2.18566,6.19614,1.77671,0,0,0,0,2.66013,5.14996,2.40442,0.000841835,0.000841835,0.000841835
52,886.638,2.1633,6.16298,1.75273,1,0.04,0.52,0.208,2.77312,5.17645,2.54775,0.000825332,0.000825332,0.000825332
53,904.071,2.10723,6.11983,1.71629,0,0,0,0,2.7809,5.19386,2.59505,0.000808828,0.000808828,0.000808828
54,921.292,2.10603,6.08021,1.72269,0,0,0,0,2.58033,5.21597,2.49584,0.000792325,0.000792325,0.000792325
55,938.563,2.11845,6.13778,1.73692,0,0,0,0,2.80175,5.30325,2.56085,0.000775822,0.000775822,0.000775822
56,955.268,2.07452,6.10151,1.6904,0,0,0,0,2.81525,5.21452,2.53807,0.000759318,0.000759318,0.000759318
57,972.318,2.13731,6.23831,1.70302,0,0,0,0,2.7921,5.24612,2.46902,0.000742815,0.000742815,0.000742815
58,989.339,2.04947,6.08946,1.66188,0,0,0,0,2.8575,5.22595,2.53984,0.000726312,0.000726312,0.000726312
59,1008.24,2.06124,6.0668,1.68125,0,0,0,0,2.77512,5.26858,2.47292,0.000709809,0.000709809,0.000709809
60,1026.13,2.07416,6.0316,1.67782,0,0,0,0,2.70414,5.25449,2.43592,0.000693305,0.000693305,0.000693305
61,1043.77,2.08612,6.00992,1.67705,0,0,0,0,2.60335,5.26234,2.45843,0.000676802,0.000676802,0.000676802
62,1063.22,2.08186,6.09098,1.65048,0,0,0,0,2.76254,5.24309,2.58244,0.000660299,0.000660299,0.000660299
63,1085.02,2.05603,6.08485,1.68778,0,0,0,0,2.65991,5.1946,2.47364,0.000643795,0.000643795,0.000643795
64,1106.48,2.02861,6.04398,1.66238,0,0,0,0,2.69327,5.18227,2.41606,0.000627292,0.000627292,0.000627292
65,1127.8,2.0719,6.10688,1.67666,0,0,0,0,2.60132,5.14947,2.37598,0.000610789,0.000610789,0.000610789
66,1149.49,2.02979,6.06475,1.60723,0,0,0,0,2.60822,5.14286,2.47306,0.000594286,0.000594286,0.000594286
67,1170.85,1.9833,6.02941,1.57479,0,0,0,0,2.65084,5.16883,2.41013,0.000577782,0.000577782,0.000577782
68,1192.15,1.96849,6.08154,1.59067,0,0,0,0,2.69986,5.16137,2.41592,0.000561279,0.000561279,0.000561279
69,1213.56,1.94204,6.02065,1.57095,0,0,0,0,2.71998,5.19835,2.40377,0.000544776,0.000544776,0.000544776
70,1234.96,1.95348,6.03583,1.56157,0,0,0,0,2.68217,5.27318,2.39978,0.000528272,0.000528272,0.000528272
71,1256.1,1.98689,5.95716,1.61049,0,0,0,0,2.62468,5.2779,2.41698,0.000511769,0.000511769,0.000511769
72,1277.61,1.94613,5.98632,1.57408,0,0,0,0,2.59041,5.20712,2.35479,0.000495266,0.000495266,0.000495266
73,1299.23,1.94781,6.07618,1.57867,0,0,0,0,2.44467,5.18373,2.23311,0.000478762,0.000478762,0.000478762
74,1320.44,1.92332,5.96878,1.56488,0,0,0,0,2.51622,5.21398,2.27668,0.000462259,0.000462259,0.000462259
75,1341.92,1.93487,5.95823,1.55956,0,0,0,0,2.66889,5.2128,2.39628,0.000445756,0.000445756,0.000445756
76,1363,1.93251,6.00536,1.53353,0,0,0,0,2.59102,5.19381,2.38312,0.000429253,0.000429253,0.000429253
77,1384.2,1.94462,5.95181,1.55096,0,0,0,0,2.62281,5.26714,2.41254,0.000412749,0.000412749,0.000412749
78,1402.12,1.94138,5.9666,1.5604,0,0,0,0,2.51612,5.19797,2.29195,0.000396246,0.000396246,0.000396246
79,1423.81,1.90621,5.96742,1.53654,0,0,0,0,2.59458,5.23906,2.36891,0.000379743,0.000379743,0.000379743
80,1443.58,1.86786,5.99559,1.51635,0,0,0,0,2.5482,5.29526,2.3595,0.000363239,0.000363239,0.000363239
81,1460.85,1.91148,6.00728,1.57806,0,0,0,0,2.47071,5.28708,2.31495,0.000346736,0.000346736,0.000346736
82,1477.95,1.9208,6.00106,1.58775,0,0,0,0,2.44955,5.23757,2.31752,0.000330233,0.000330233,0.000330233
83,1494.96,1.91983,6.037,1.54134,0,0,0,0,2.42987,5.26916,2.27605,0.000313729,0.000313729,0.000313729
84,1511.99,1.91026,5.92757,1.54254,0,0,0,0,2.44275,5.24472,2.2862,0.000297226,0.000297226,0.000297226
85,1529.05,1.95479,5.98616,1.54986,0,0,0,0,2.49286,5.2194,2.31458,0.000280723,0.000280723,0.000280723
86,1546.24,1.84138,5.8896,1.50978,0,0,0,0,2.55358,5.26516,2.37843,0.00026422,0.00026422,0.00026422
87,1563.4,1.84159,5.92208,1.48296,0,0,0,0,2.58796,5.23967,2.41143,0.000247716,0.000247716,0.000247716
88,1580.56,1.84517,5.94837,1.48685,0,0,0,0,2.5024,5.22574,2.33838,0.000231213,0.000231213,0.000231213
89,1597.92,1.85601,5.92037,1.49509,0,0,0,0,2.53714,5.21793,2.3772,0.00021471,0.00021471,0.00021471
90,1614.92,1.82508,5.8861,1.48791,0,0,0,0,2.54832,5.18228,2.32594,0.000198206,0.000198206,0.000198206
91,1631.7,1.88413,6.37748,1.54093,0,0,0,0,2.5213,5.15193,2.3272,0.000181703,0.000181703,0.000181703
92,1648.26,1.85388,6.32437,1.51463,0,0,0,0,2.39372,5.16843,2.2484,0.0001652,0.0001652,0.0001652
93,1664.69,1.87016,6.37885,1.55328,0,0,0,0,2.3723,5.13252,2.22003,0.000148696,0.000148696,0.000148696
94,1681.21,1.78575,6.24703,1.45771,0,0,0,0,2.46705,5.11886,2.2817,0.000132193,0.000132193,0.000132193
95,1698.03,1.78106,6.22721,1.50672,0,0,0,0,2.50744,5.10696,2.31346,0.00011569,0.00011569,0.00011569
96,1714.77,1.74472,6.30067,1.45668,0,0,0,0,2.51445,5.10206,2.30874,9.91865e-05,9.91865e-05,9.91865e-05
97,1731.41,1.82072,6.25455,1.48518,0,0,0,0,2.39864,5.11085,2.24952,8.26832e-05,8.26832e-05,8.26832e-05
98,1748.03,1.78513,6.26141,1.47879,0,0,0,0,2.38535,5.1055,2.23663,6.61799e-05,6.61799e-05,6.61799e-05
99,1764.73,1.77091,6.24088,1.48476,0,0,0,0,2.38628,5.12937,2.22796,4.96766e-05,4.96766e-05,4.96766e-05
100,1781.47,1.78658,6.2705,1.47944,0,0,0,0,2.40464,5.13008,2.22064,3.31733e-05,3.31733e-05,3.31733e-05
