epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.367,4.25569,5.15227,4.11227,0.35333,0.03114,0.03928,0.01089,4.07054,4.78058,3.80048,0.00066092,0.00066092,0.00066092
2,353.662,2.84815,2.59184,2.57802,0.47904,0.47802,0.40276,0.14386,2.43966,3.47587,2.40648,0.00131444,0.00131444,0.00131444
3,502.644,2.37042,1.93491,2.09848,0.63286,0.46337,0.45416,0.15383,2.57224,2.46638,2.2413,0.00195477,0.00195477,0.00195477
4,649.866,2.19398,1.69926,1.89325,0.6572,0.5583,0.60521,0.24816,2.12612,1.88768,2.02531,0.0019406,0.0019406,0.0019406
