epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,810.804,0.98781,0.56389,0.94877,0.95029,0.94532,0.98457,0.71752,0.96597,0.51626,0.9733,0.0009605,0.0009605,0.0009605
44,829.517,0.98908,0.56812,0.95984,0.96084,0.91392,0.97463,0.6858,1.06075,0.53686,0.99747,0.00093575,0.00093575,0.00093575
45,848.304,0.96208,0.54548,0.94914,0.95501,0.91026,0.97416,0.69557,1.02857,0.53173,0.99819,0.000911,0.000911,0.000911
46,867.204,0.9886,0.56227,0.96374,0.95355,0.92308,0.97121,0.67919,1.07193,0.54812,0.99607,0.00088625,0.00088625,0.00088625
47,885.968,0.96474,0.5455,0.94142,0.97124,0.92772,0.98024,0.73599,0.9389,0.5028,0.9617,0.0008615,0.0008615,0.0008615
48,904.688,1.00249,0.56152,0.95376,0.95667,0.93016,0.98101,0.69448,1.02929,0.5236,0.9865,0.00083675,0.00083675,0.00083675
49,923.531,0.97112,0.54531,0.95249,0.95191,0.94139,0.98062,0.72157,0.93302,0.50968,0.95732,0.000812,0.000812,0.000812
50,942.245,0.97883,0.55288,0.95084,0.94294,0.9359,0.97399,0.69997,0.99026,0.5262,0.98441,0.00078725,0.00078725,0.00078725
51,961.07,0.95889,0.54054,0.94348,0.96552,0.91209,0.97501,0.70807,0.97057,0.51778,0.97917,0.0007625,0.0007625,0.0007625
52,979.782,0.98849,0.55903,0.95605,0.95209,0.94636,0.98342,0.69025,1.06081,0.52391,0.99451,0.00073775,0.00073775,0.00073775
53,998.775,0.95128,0.53406,0.93878,0.95129,0.93005,0.97862,0.71014,0.97808,0.50579,0.97597,0.000713,0.000713,0.000713
54,1017.46,0.94152,0.53428,0.93734,0.95571,0.94844,0.97981,0.71372,1.0145,0.50221,0.97956,0.00068825,0.00068825,0.00068825
55,1036.17,0.94231,0.53067,0.94199,0.95608,0.95055,0.9856,0.72262,0.97637,0.48899,0.97482,0.0006635,0.0006635,0.0006635
56,1054.98,0.92875,0.51621,0.93331,0.94664,0.94872,0.98008,0.70765,1.01552,0.50451,0.99152,0.00063875,0.00063875,0.00063875
57,1073.75,0.92126,0.51269,0.92433,0.94394,0.94689,0.97778,0.70689,0.99655,0.49478,0.98028,0.000614,0.000614,0.000614
58,1092.55,0.9222,0.5211,0.93606,0.93828,0.95055,0.97938,0.72541,0.925,0.48011,0.96628,0.00058925,0.00058925,0.00058925
59,1111.19,0.9268,0.51546,0.92812,0.961,0.94505,0.98393,0.70335,1.02389,0.50137,0.9874,0.0005645,0.0005645,0.0005645
60,1129.69,0.90865,0.51152,0.92521,0.96457,0.94725,0.98676,0.73289,0.94133,0.48478,0.96236,0.00053975,0.00053975,0.00053975
61,1148.58,0.90392,0.50092,0.92853,0.96821,0.95238,0.98676,0.72387,0.9917,0.49706,0.97152,0.000515,0.000515,0.000515
62,1167.54,0.91492,0.50026,0.92063,0.9647,0.95103,0.98742,0.73896,0.94204,0.46169,0.96327,0.00049025,0.00049025,0.00049025
63,1186.12,0.89658,0.49095,0.92514,0.95597,0.95446,0.98478,0.71743,0.99691,0.48086,0.98096,0.0004655,0.0004655,0.0004655
64,1204.93,0.90003,0.49802,0.91942,0.94927,0.95954,0.98599,0.74496,0.91714,0.46772,0.96246,0.00044075,0.00044075,0.00044075
65,1223.57,0.88862,0.48812,0.92373,0.96476,0.95279,0.98656,0.72237,0.97421,0.47226,0.96916,0.000416,0.000416,0.000416
66,1242.46,0.89675,0.48604,0.92295,0.95403,0.95024,0.98524,0.74031,0.9281,0.46524,0.95246,0.00039125,0.00039125,0.00039125
67,1261.35,0.8842,0.47712,0.91992,0.96288,0.93773,0.98002,0.71886,0.99521,0.48442,0.97504,0.0003665,0.0003665,0.0003665
68,1280.12,0.90385,0.48874,0.92149,0.96641,0.9486,0.98413,0.74664,0.91899,0.4527,0.95386,0.00034175,0.00034175,0.00034175
69,1299.01,0.87994,0.47856,0.922,0.96971,0.95604,0.98755,0.73634,0.95101,0.457,0.96223,0.000317,0.000317,0.000317
70,1318.08,0.88403,0.47607,0.91167,0.96804,0.94689,0.98762,0.73672,0.94049,0.45726,0.96041,0.00029225,0.00029225,0.00029225
71,1335.5,0.83858,0.44424,0.90942,0.94443,0.96502,0.98764,0.73329,0.94152,0.45982,0.96666,0.0002675,0.0002675,0.0002675
72,1353.07,0.83097,0.43387,0.90892,0.96489,0.95421,0.9844,0.71479,1.00095,0.46503,0.97941,0.00024275,0.00024275,0.00024275
73,1370.3,0.81873,0.42695,0.90783,0.95965,0.95821,0.98832,0.73558,0.94017,0.45321,0.96251,0.000218,0.000218,0.000218
74,1387.8,0.81796,0.42261,0.90627,0.97369,0.94905,0.98818,0.73949,0.91665,0.4448,0.95496,0.00019325,0.00019325,0.00019325
75,1405.04,0.80972,0.42048,0.9126,0.97002,0.94817,0.98626,0.73882,0.926,0.44724,0.95493,0.0001685,0.0001685,0.0001685
76,1422.67,0.80739,0.41926,0.90562,0.96492,0.95421,0.98698,0.73531,0.93756,0.44303,0.96533,0.00014375,0.00014375,0.00014375
77,1440.29,0.7929,0.41532,0.89552,0.96662,0.95477,0.98757,0.73732,0.92475,0.44129,0.95556,0.000119,0.000119,0.000119
78,1464.39,0.80404,0.40756,0.8902,0.97206,0.95574,0.98842,0.74064,0.92213,0.43815,0.95864,9.425e-05,9.425e-05,9.425e-05
79,1489.92,0.78956,0.40397,0.89366,0.97196,0.95226,0.98743,0.74903,0.89,0.42745,0.9495,6.95e-05,6.95e-05,6.95e-05
80,1512.35,0.77817,0.39799,0.89362,0.97192,0.95078,0.98725,0.74606,0.9033,0.43235,0.95151,4.475e-05,4.475e-05,4.475e-05
