epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1887.71,1.29992,1.32189,1.44753,0.66914,0.63926,0.6259,0.32723,1.65441,1.48563,1.62407,0.0014588,0.0014588,0.0014588
43,1933.1,1.30297,1.33167,1.435,0.67551,0.58886,0.62325,0.34044,1.59685,1.41517,1.58657,0.0014456,0.0014456,0.0014456
44,1979.03,1.29617,1.29821,1.43821,0.68614,0.62334,0.652,0.35201,1.59803,1.39643,1.58936,0.0014324,0.0014324,0.0014324
45,2024.47,1.27338,1.30272,1.43064,0.6866,0.63395,0.65394,0.35884,1.6038,1.34941,1.59543,0.0014192,0.0014192,0.0014192
46,2069.88,1.26147,1.26801,1.4098,0.69028,0.63926,0.65619,0.35912,1.58922,1.39606,1.59449,0.001406,0.001406,0.001406
47,2116.32,1.24132,1.23149,1.40335,0.7104,0.64742,0.66794,0.35541,1.60161,1.34183,1.58691,0.0013928,0.0013928,0.0013928
48,2161.93,1.27374,1.25719,1.43216,0.62429,0.62365,0.5882,0.31093,1.6551,1.49025,1.65132,0.0013796,0.0013796,0.0013796
49,2208.08,1.25916,1.25756,1.39934,0.69514,0.6502,0.6777,0.36674,1.57153,1.30833,1.57021,0.0013664,0.0013664,0.0013664
50,2254.35,1.23922,1.2007,1.4001,0.72447,0.65119,0.68112,0.37405,1.56963,1.28343,1.56414,0.0013532,0.0013532,0.0013532
51,2300.46,1.22476,1.19838,1.38429,0.70366,0.66762,0.68431,0.37383,1.55267,1.29012,1.5476,0.00134,0.00134,0.00134
52,2346.14,1.23918,1.20243,1.39528,0.72053,0.67109,0.70534,0.39366,1.5201,1.21953,1.54831,0.0013268,0.0013268,0.0013268
53,2391.77,1.2121,1.1838,1.36447,0.72861,0.65872,0.68704,0.3866,1.54431,1.24838,1.54506,0.0013136,0.0013136,0.0013136
54,2437.57,1.19526,1.15575,1.38177,0.6903,0.64147,0.66569,0.36359,1.57936,1.29523,1.57425,0.0013004,0.0013004,0.0013004
55,2482.79,1.18757,1.16692,1.35835,0.70912,0.68435,0.69512,0.38518,1.50139,1.22954,1.50996,0.0012872,0.0012872,0.0012872
56,2528,1.16453,1.11553,1.3363,0.75281,0.65782,0.69578,0.39067,1.53104,1.25625,1.52969,0.001274,0.001274,0.001274
57,2573.22,1.18608,1.1465,1.36582,0.70426,0.64456,0.68119,0.38439,1.49505,1.27841,1.50043,0.0012608,0.0012608,0.0012608
58,2618.4,1.15846,1.08963,1.33999,0.7421,0.62969,0.68007,0.3669,1.57306,1.28278,1.58104,0.0012476,0.0012476,0.0012476
59,2663.26,1.17303,1.11975,1.35626,0.75206,0.62599,0.68789,0.39295,1.51573,1.25564,1.52101,0.0012344,0.0012344,0.0012344
60,2708.45,1.15472,1.093,1.34431,0.74699,0.66446,0.70415,0.40087,1.51489,1.19779,1.52899,0.0012212,0.0012212,0.0012212
61,2754.16,1.15693,1.10592,1.34302,0.73007,0.68302,0.71292,0.41783,1.45026,1.17232,1.48969,0.001208,0.001208,0.001208
62,2799.24,1.14245,1.06973,1.32664,0.68413,0.66313,0.68366,0.3886,1.54948,1.25882,1.56822,0.0011948,0.0011948,0.0011948
63,2844.2,1.13343,1.08298,1.32004,0.75369,0.66578,0.71834,0.40905,1.49606,1.15238,1.50346,0.0011816,0.0011816,0.0011816
64,2889.49,1.14183,1.0758,1.32278,0.73098,0.68832,0.71212,0.41102,1.48636,1.18461,1.51627,0.0011684,0.0011684,0.0011684
65,2934.7,1.14254,1.06197,1.32409,0.77412,0.687,0.74248,0.4264,1.44448,1.1014,1.49716,0.0011552,0.0011552,0.0011552
66,2979.94,1.12737,1.05208,1.31985,0.77869,0.65119,0.72239,0.41621,1.4479,1.15007,1.47744,0.001142,0.001142,0.001142
67,3025.88,1.09309,1.03689,1.28452,0.77378,0.66578,0.73477,0.4302,1.45163,1.125,1.48642,0.0011288,0.0011288,0.0011288
68,3072.2,1.09621,1.00537,1.29792,0.78307,0.66547,0.73021,0.41932,1.49304,1.13459,1.5293,0.0011156,0.0011156,0.0011156
69,3118.22,1.0997,1.01965,1.29847,0.75042,0.66976,0.70879,0.40666,1.47134,1.21017,1.5302,0.0011024,0.0011024,0.0011024
70,3163.87,1.09744,0.98833,1.31249,0.79635,0.64987,0.7271,0.40997,1.46937,1.16616,1.53504,0.0010892,0.0010892,0.0010892
71,3210.46,1.0766,0.99192,1.28185,0.78984,0.68285,0.71961,0.42846,1.44073,1.10341,1.49415,0.001076,0.001076,0.001076
72,3255.31,1.05996,0.97002,1.28316,0.78857,0.68263,0.74182,0.43832,1.44314,1.12091,1.48401,0.0010628,0.0010628,0.0010628
73,3300.82,1.061,0.96063,1.26848,0.74511,0.70424,0.73953,0.43584,1.43884,1.07399,1.46558,0.0010496,0.0010496,0.0010496
74,3346.25,1.07417,0.9569,1.27244,0.77443,0.68435,0.74666,0.43869,1.43786,1.09665,1.48051,0.0010364,0.0010364,0.0010364
75,3391.85,1.02015,0.93222,1.25106,0.75303,0.6915,0.7361,0.42465,1.45192,1.10063,1.50046,0.0010232,0.0010232,0.0010232
76,3437.02,1.03747,0.96002,1.26519,0.77417,0.69107,0.72073,0.41702,1.44983,1.14912,1.49619,0.00101,0.00101,0.00101
77,3482.28,1.03466,0.93712,1.24829,0.80171,0.69171,0.74953,0.44532,1.4235,1.06997,1.4594,0.0009968,0.0009968,0.0009968
78,3527.84,1.05208,0.93172,1.26953,0.82414,0.68435,0.75142,0.43569,1.4366,1.05987,1.48462,0.0009836,0.0009836,0.0009836
79,3572.91,1.0292,0.93518,1.25988,0.79609,0.69385,0.75196,0.44344,1.41714,1.06488,1.48237,0.0009704,0.0009704,0.0009704
80,3618.13,1.00365,0.95203,1.24294,0.80545,0.67241,0.74863,0.44505,1.41202,1.05002,1.46627,0.0009572,0.0009572,0.0009572
81,3663.82,1.02178,0.88629,1.24208,0.82024,0.70201,0.75351,0.44936,1.42028,1.0448,1.44694,0.000944,0.000944,0.000944
82,3709.3,1.02477,0.91463,1.24616,0.83992,0.69761,0.75572,0.45515,1.39654,1.05898,1.46107,0.0009308,0.0009308,0.0009308
83,3754.86,0.99367,0.8726,1.21529,0.79524,0.73342,0.75853,0.45767,1.3831,1.02924,1.45188,0.0009176,0.0009176,0.0009176
84,3800.48,0.98715,0.86659,1.22345,0.80679,0.71088,0.74596,0.44481,1.40131,1.05015,1.45564,0.0009044,0.0009044,0.0009044
85,3846.64,1.00487,0.86197,1.23533,0.821,0.69231,0.76346,0.46202,1.38756,1.03534,1.46463,0.0008912,0.0008912,0.0008912
86,3893.03,0.98782,0.8632,1.22764,0.82139,0.69231,0.76823,0.46912,1.37023,1.01572,1.43706,0.000878,0.000878,0.000878
87,3939.36,0.95562,0.85357,1.20714,0.84715,0.68568,0.75878,0.4493,1.40643,1.02281,1.46845,0.0008648,0.0008648,0.0008648
88,3985.73,0.96747,0.85362,1.20741,0.77685,0.70822,0.7421,0.44875,1.40396,1.02134,1.46178,0.0008516,0.0008516,0.0008516
89,4031.68,0.97145,0.84966,1.21704,0.81927,0.70944,0.76924,0.46176,1.37578,1.00815,1.44394,0.0008384,0.0008384,0.0008384
90,4077.04,0.95994,0.82388,1.20873,0.83987,0.70159,0.78107,0.47276,1.35823,0.9916,1.43224,0.0008252,0.0008252,0.0008252
91,4122.58,0.96924,0.84608,1.21982,0.80619,0.70063,0.76323,0.46253,1.37589,1.02201,1.45483,0.000812,0.000812,0.000812
92,4168.42,0.95453,0.85413,1.21839,0.81117,0.71883,0.76397,0.46458,1.36831,0.99822,1.45824,0.0007988,0.0007988,0.0007988
93,4213.76,0.93942,0.82909,1.1913,0.83085,0.70557,0.76653,0.46004,1.39161,1.00864,1.46994,0.0007856,0.0007856,0.0007856
94,4259.03,0.94702,0.81683,1.19647,0.8271,0.71353,0.77218,0.47405,1.35609,0.9943,1.43248,0.0007724,0.0007724,0.0007724
95,4304.54,0.9748,0.85023,1.21631,0.81308,0.72115,0.77415,0.46597,1.362,0.99955,1.44758,0.0007592,0.0007592,0.0007592
96,4349.31,0.95453,0.84888,1.20505,0.83381,0.72546,0.782,0.47109,1.35704,0.97993,1.44325,0.000746,0.000746,0.000746
97,4394.4,0.94117,0.81025,1.19757,0.81935,0.71584,0.76334,0.46739,1.35231,0.99915,1.4324,0.0007328,0.0007328,0.0007328
98,4439.93,0.92439,0.79508,1.18199,0.83611,0.70822,0.76434,0.46426,1.37354,0.96685,1.46821,0.0007196,0.0007196,0.0007196
99,4485.73,0.90977,0.78128,1.174,0.82816,0.72281,0.77522,0.47539,1.34397,0.96442,1.4168,0.0007064,0.0007064,0.0007064
100,4531.67,0.91006,0.7757,1.18292,0.83242,0.70557,0.7644,0.46951,1.34996,0.99329,1.42061,0.0006932,0.0006932,0.0006932
101,4578.04,0.89861,0.77216,1.17215,0.84664,0.71353,0.77932,0.47778,1.34885,0.95758,1.43771,0.00068,0.00068,0.00068
102,4624.38,0.89528,0.77683,1.17554,0.83207,0.72414,0.78173,0.48875,1.32953,0.92961,1.41261,0.0006668,0.0006668,0.0006668
103,4670.43,0.91096,0.76267,1.16508,0.84217,0.72812,0.77542,0.48264,1.31809,0.94603,1.40739,0.0006536,0.0006536,0.0006536
104,4716.08,0.89487,0.78019,1.17265,0.8114,0.73608,0.78634,0.48567,1.33441,0.94776,1.42911,0.0006404,0.0006404,0.0006404
105,4761.76,0.89188,0.7656,1.1662,0.81849,0.73562,0.78691,0.4839,1.34757,0.95008,1.43093,0.0006272,0.0006272,0.0006272
106,4807.2,0.88436,0.73752,1.15981,0.82901,0.73873,0.7802,0.48915,1.32268,0.92368,1.42054,0.000614,0.000614,0.000614
107,4852.32,0.87029,0.75542,1.15807,0.82295,0.74005,0.77933,0.48833,1.31363,0.91807,1.41407,0.0006008,0.0006008,0.0006008
108,4897.48,0.88374,0.75751,1.16351,0.84651,0.73146,0.79523,0.49388,1.32412,0.9117,1.41421,0.0005876,0.0005876,0.0005876
